Cutoff Year,Alive,Dead,Sum
0.0,182,0,182
0.25,182,0,182
0.5,182,0,182
0.75,178,2,180
1.0,171,8,179
1.25,164,15,179
1.5,160,19,179
1.75,154,24,178
2.0,150,27,177
2.25,146,31,177
2.5,141,34,175
2.75,140,35,175
3.0,137,38,175
3.25,136,39,175
3.5,133,40,173
3.75,127,44,171
4.0,124,45,169
4.25,120,46,166
4.5,109,48,157
4.75,102,51,153
5.0,96,54,150
5.25,91,55,146
5.5,89,55,144
5.75,83,57,140
6.0,82,57,139
6.25,79,58,137
6.5,68,59,127
6.75,62,60,122
7.0,50,61,111
7.25,37,62,99
7.5,27,63,90
7.75,20,63,83
8.0,14,63,77
8.25,12,64,76
8.5,9,64,73
8.75,5,64,69
9.0,2,65,67
9.25,2,65,67
9.5,1,65,66
9.75,0,65,65
